,id,from,to,date,upcoming,season,marketValue,fee
4,496094,33034,8207,"Jan 1, 2018",False,17/18,,
5,496094,36747,33034,"Mar 13, 2017",False,16/17,,
6,496094,38578,36747,"Jul 1, 2012",False,12/13,,free transfer
7,496094,18936,38578,"Jul 1, 2011",False,11/12,,free transfer
8,496094,38578,18936,"Jul 1, 2009",False,09/10,,free transfer
0,670882,1464,16,"Jul 1, 2022",False,22/23,€4.00m,
1,670882,50678,1464,"Sep 17, 2020",False,20/21,,free transfer
2,670882,53035,50678,"Jul 1, 2018",False,18/19,,?
0,401173,16,985,"Jun 30, 2024",True,23/24,€25.00m,End of loan
1,401173,985,16,"Jan 11, 2024",False,23/24,€25.00m,loan transfer
2,401173,16,985,"Jul 23, 2021",False,21/22,€100.00m,€85.00m
3,401173,6930,16,"Aug 31, 2017",False,17/18,€5.00m,€20.59m
4,401173,50678,6930,"Jul 1, 2016",False,16/17,,
5,401173,51466,50678,"Mar 7, 2015",False,14/15,,€172k
0,326029,383,16,"Jul 27, 2021",False,21/22,€30.00m,€30.00m
1,326029,9715,383,"Jul 1, 2018",False,18/19,€750k,
2,326029,9249,9715,"Aug 31, 2017",False,17/18,€200k,€600k
3,326029,5679,9249,"Jul 1, 2017",False,17/18,,
4,326029,51645,5679,"Jul 29, 2015",False,15/16,,?
5,326029,32791,51645,"Jul 1, 2014",False,14/15,,
6,326029,52797,32791,"Jul 1, 2008",False,08/09,,free transfer
0,819215,58,16,"Jan 27, 2023",False,22/23,€5.00m,€8.50m
1,819215,66529,58,"Jul 1, 2022",False,22/23,,
2,819215,25005,66529,"Jul 1, 2021",False,21/22,,
0,467720,1464,16,"Jul 29, 2020",False,20/21,,
1,467720,21055,1464,"Jul 1, 2019",False,19/20,,
2,467720,11896,21055,"Jul 1, 2017",False,17/18,,
3,467720,29107,11896,"Jul 1, 2016",False,16/17,,free transfer
0,107775,24,89,"Jul 20, 2021",False,21/22,€2.50m,€1.00m
1,107775,33,24,"Jun 30, 2021",False,20/21,€2.50m,End of loan
2,107775,24,33,"Sep 30, 2020",False,20/21,€2.40m,loan transfer
3,107775,206,24,"Jul 1, 2018",False,18/19,€3.00m,€2.80m
4,107775,2414,206,"Jul 2, 2015",False,15/16,€500k,€350k
5,107775,3426,2414,"Jun 30, 2014",False,13/14,€750k,End of loan
6,107775,2414,3426,"Jul 5, 2013",False,13/14,€750k,loan transfer
7,107775,14347,2414,"Aug 4, 2010",False,10/11,,
8,107775,20984,14347,"Jul 1, 2009",False,09/10,,
0,93763,44,89,"Jul 26, 2023",False,23/24,€900k,free transfer
1,93763,33,44,"Jun 30, 2023",False,22/23,€900k,End of loan
2,93763,44,33,"Jul 1, 2022",False,22/23,€3.00m,"Loan fee:<br /><i class=""normaler-text"">€300k</i>"
3,93763,60,44,"Aug 4, 2020",False,20/21,€7.00m,€7.00m
4,93763,10,60,"Jun 30, 2015",False,14/15,€400k,End of loan
5,93763,60,10,"Jul 1, 2014",False,14/15,€250k,loan transfer
6,93763,245,60,"Jan 1, 2012",False,11/12,€175k,
7,93763,4042,245,"Jul 1, 2010",False,10/11,,
8,93763,21075,4042,"Jul 1, 2009",False,09/10,,
9,93763,23793,21075,"Jul 1, 2008",False,08/09,,free transfer
10,93763,37897,23793,"Jul 1, 2007",False,07/08,,
